Timestamp,Ax,Ay,Az,Rx,Ry,Rz,HR_value
7,-0.6938,0.4969,-0.1183,-0.0621,-0.2922,-0.2081,0
7,-0.752,0.6204,-0.1122,0.0457,-0.255,-0.2256,0
7,-0.799,0.7857,-0.0755,0.0806,-0.242,-0.2899,0
7,-1.3837,1.1744,-0.0316,0.2693,-0.2649,-0.4721,0
7,-1.7877,1.4061,0.0316,0.6225,-0.3019,-0.689,0
7,-1.9755,1.3286,0.0622,0.6606,-0.2016,-0.7359,0
7,-1.802,0.9459,0.0357,0.0131,-0.0032,-0.4546,0
7,-1.2959,0.3387,-0.1183,0.0131,-0.0032,-0.4546,0
7,-1.2959,0.3387,-0.1183,-0.8449,0.1776,0.2093,0
7,-1.3296,0.2775,-0.2428,-0.9855,0.2605,0.8199,0
7,-1.0959,0.3316,-0.1683,-0.507,0.0087,1.1001,0
7,-1.0357,0.6143,-0.1082,0.2027,-0.3248,1.184,0
7,-0.7938,0.9918,-0.0051,0.7119,-0.6213,0.991,0
7,-0.8469,1.0591,-0.0632,0.64,-0.4437,0.7119,0
7,-0.8561,0.7877,-0.2632,-0.0883,-0.1493,0.4382,0
7,-0.8224,0.4642,-0.0979,-0.4578,-0.1089,0.5265,0
7,-0.9367,0.3724,-0.1796,-0.351,-0.1079,0.4143,0
7,-0.9102,0.4081,-0.1337,-0.351,-0.1079,0.4143,0
7,-0.9102,0.4081,-0.1337,-0.0751,-0.0708,0.2365,0
7,-0.7959,0.3898,-0.0408,0.0305,-0.0969,0.181,0
7,-0.8163,0.299,-0.101,-0.0654,0.0326,0.1286,0
7,-0.7714,0.299,-0.102,-0.0534,0.0708,0.1112,0
7,-0.702,0.3939,-0.0357,0.1318,0.0457,0.1329,0
7,-0.7245,0.4908,-0.0081,0.2747,0.0196,0.1623,0
7,-0.7581,0.4857,-0.0316,0.2539,0.0664,0.1341,0
7,-0.7245,0.4265,-0.0745,0.1155,0.1373,0.0011,0
7,-0.6928,0.4897,-0.0245,0.1428,0.1198,-0.0425,0
7,-0.6877,0.4979,-0.0255,0.1428,0.1198,-0.0425,0
7,-0.6867,0.4897,-0.0153,0.1972,0.085,-0.0349,0
7,-0.6867,0.4897,-0.0153,0.1537,0.1198,-0.0282,0
7,-0.6857,0.3602,-0.049,0.0534,0.1493,0.0217,0
7,-0.6683,0.3377,-0.0428,0.0065,0.1831,0.0294,0
7,-0.6346,0.3469,-0.0551,0.0566,0.1591,0.0479,0
7,-0.5479,0.3724,-0.0306,0.1003,0.1297,0.0435,0
7,-0.5143,0.3898,-0.05,0.1352,0.1396,0.0131,0
7,-0.4867,0.4081,-0.0449,0.157,0.1373,-0.0206,0
7,-0.5102,0.4132,-0.0663,0.1449,0.1591,-0.0664,0
7,-0.5541,0.3857,-0.1102,0.1449,0.1591,-0.0664,0
7,-0.5775,0.3877,-0.1306,0.1035,0.1787,-0.0959,0
7,-0.5775,0.3877,-0.1306,0.085,0.1755,-0.1123,0
7,-0.5857,0.3969,-0.1194,0.1079,0.1591,-0.1461,0
7,-0.6255,0.3591,-0.1245,0.1035,0.1515,-0.206,0
7,-0.6489,0.3347,-0.1306,0.074,0.157,-0.255,0
7,-0.6602,0.3224,-0.1398,0.0555,0.1602,-0.2758,0
7,-0.6469,0.3969,-0.1449,0.0511,0.1537,-0.2812,0
7,-0.6785,0.4428,-0.1755,0.0545,0.1417,-0.3216,0
7,-0.7122,0.4867,-0.1959,0.0599,0.1362,-0.412,0
7,-0.7643,0.5214,-0.2428,0.0599,0.1362,-0.412,0
7,-0.8928,0.6387,-0.3377,0.0577,0.1177,-0.4906,0
7,-0.8928,0.6387,-0.3377,0.0534,0.1068,-0.52,0
7,-0.9888,0.7296,-0.3857,0.0305,0.1024,-0.5179,0
7,-1.0857,0.8255,-0.4326,0.0097,0.098,-0.5299,0
7,-1.4755,0.9255,-0.5418,0.049,0.086,-0.5713,0
7,-1.5918,0.9235,-0.5541,0.1384,0.0828,-0.5734,0
7,-1.4775,0.8806,-0.4745,0.1623,0.0784,-0.4065,0
7,-1.1969,0.6898,-0.3969,0.0108,0.1678,-0.0806,0
7,-1.1306,0.6265,-0.4214,-0.2605,0.3968,0.2464,0
7,-1.101,0.7397,-0.4306,-0.2627,0.5244,0.7642,0
7,-1.0786,0.7663,-0.3653,-0.1406,0.4361,0.7642,0
7,-1.0786,0.6703,-0.3602,-0.1406,0.4361,0.7642,0
8,-1.0877,0.5979,-0.3602,-0.1526,0.388,0.6442,0
8,-1.0877,0.5979,-0.3602,-0.2093,0.3401,0.5374,0
8,-1.0632,0.6082,-0.3132,-0.1678,0.2594,0.4851,0
8,-1.0418,0.6245,-0.2745,-0.086,0.1558,0.4284,0
8,-1.0031,0.5877,-0.2734,-0.0969,0.0806,0.3445,0
8,-0.9581,0.551,-0.2347,-0.169,0.0294,0.2737,0
8,-0.9367,0.4714,-0.203,-0.1907,-0.0185,0.2169,0
8,-0.9265,0.4581,-0.1887,-0.1602,-0.0566,0.169,0
8,-0.8939,0.4469,-0.1938,-0.1352,-0.0915,0.1449,0
8,-0.8357,0.452,-0.2071,-0.1352,-0.0915,0.1449,0
8,-0.8163,0.4622,-0.2153,-0.1079,-0.1198,0.1526,0
8,-0.8163,0.4622,-0.2153,-0.0664,-0.1341,0.2016,0
8,-0.7786,0.4633,-0.2133,-0.0337,-0.1318,0.2464,0
8,-0.7112,0.45,-0.2397,-0.0228,-0.1123,0.2823,0
8,-0.6724,0.4633,-0.2377,0.0032,-0.0894,0.3063,0
8,-0.6387,0.4816,-0.2438,0.0381,-0.0784,0.3248,0
8,-0.6153,0.4826,-0.2449,0.036,-0.0654,0.3193,0
8,-0.5571,0.4479,-0.2734,-0.0261,-0.0708,0.3019,0
8,-0.549,0.4265,-0.3081,-0.1123,-0.0937,0.2844,0
8,-0.5112,0.3846,-0.3041,-0.1123,-0.0937,0.2844,0
8,-0.4714,0.3734,-0.2949,-0.1581,-0.1274,0.2627,0
8,-0.4714,0.3734,-0.2949,-0.1635,-0.1842,0.2442,0
8,-0.4612,0.3714,-0.2765,-0.1907,-0.2376,0.1984,0
8,-0.4316,0.3408,-0.2724,-0.2289,-0.2888,0.1286,0
8,-0.4112,0.2775,-0.2683,-0.2856,-0.3193,0.0555,0
8,-0.4061,0.2571,-0.2622,-0.3085,-0.3314,-0.0108,0
8,-0.4132,0.2734,-0.2377,-0.2627,-0.3248,-0.0763,0
8,-0.4142,0.2938,-0.2112,-0.1919,-0.2844,-0.1449,0
8,-0.4724,0.3061,-0.1928,-0.1581,-0.182,-0.2321,0
8,-0.5143,0.301,-0.1979,-0.1581,-0.182,-0.2321,0
